# mjd,flux,flux err
54470.9297222,0.1865451,0.0080308
54473.9210880,0.1617252,0.0083388
54477.9099653,0.1766610,0.0215226
54485.8882523,0.1693515,0.0210980
54496.8596875,0.1655016,0.0327204
54497.8559028,0.1655370,0.0147901
54505.8333565,0.1513086,0.0190867
54507.8287731,0.1455944,0.0089975
54545.7247106,0.1388102,0.0173095
54547.7196296,0.1322376,0.0319888
54557.6913194,-0.0960014,0.0324307
54585.6156713,0.1533143,0.0361447
54599.5798495,0.1905281,0.0064079
54603.5688079,0.2056106,0.0370121
54605.5633102,0.2019086,0.0117914
54615.5363079,0.2365861,0.0070358
54618.5276042,0.2264169,0.0118001
54620.5223148,0.2318146,0.0166643
54625.5062616,0.2538513,0.0768281
54627.5012153,0.2603485,0.0164991
54629.4959028,0.2680176,0.0381629
54631.4896759,0.2811398,0.0298152
54633.4843750,0.2823270,0.0075741
54634.4822222,0.2745912,0.0167050
54637.4732755,0.2836323,0.0093693
54655.4250000,0.3337298,0.0165864
54660.4116551,0.3519406,0.0188741
54666.3932986,0.3500971,0.0257773
54673.3743866,0.3831888,0.0203691
54675.3696991,0.3769420,0.0089110
54677.3636343,0.3923531,0.0203300
54679.3586227,0.4058076,0.0143581
54681.3527778,0.4073069,0.0127165
54685.3425347,0.4147723,0.0412351
54687.3368056,0.4210764,0.0116833
54689.3317361,0.4369541,0.0698879
54691.3258796,0.4278205,0.0197156
54693.3309375,0.4499172,0.0151640
54694.3119676,0.4395860,0.0267294
54695.3260764,0.4383040,0.0107721
54696.3062963,0.4538922,0.0340242
54699.3134259,0.4569012,0.0132616
54700.2955208,0.4896973,0.0296868
54703.3027083,0.4237946,0.0687204
54704.2851042,0.4651061,0.0169628
54706.2788079,0.4750873,0.0226280
54707.2926505,0.4836217,0.0115349
54708.2733102,0.4781445,0.0118507
54712.2626505,0.4658235,0.0315519
54762.1533796,0.6664294,0.0136756
54765.1189931,0.7037449,0.0282196
54767.1143287,0.7142036,0.0268888
54768.1368287,0.6974955,0.0144163
54769.1086690,0.7221755,0.0168570
54773.0987963,0.7132248,0.0413413
54777.0913079,0.7185841,0.0147508
54781.1033102,0.6949092,0.0573483
54783.0955556,0.7322382,0.0157446
54786.0625810,0.7431567,0.0164092
54788.0570718,0.7482083,0.0156674
54789.0740972,0.7474584,0.0155401
54790.0514931,0.7491168,0.0153607
54791.0686111,0.7418966,0.0221457
54793.0637037,0.7408298,0.0154883
54794.0404861,0.7499822,0.0203043
54795.0580093,0.7214247,0.0768862
54796.0352315,0.7673962,0.1414618
54806.0072454,0.7235053,0.0485709
54807.0252083,0.7490740,0.0164981
54811.0140046,0.7504288,0.0156804
54816.9980093,0.8016954,0.1684366
54817.9743750,0.7166085,0.0568839
54818.9921528,0.7687262,0.0161747
54848.9178704,0.8180085,0.0217298
54851.8821412,0.7612797,0.0559186
54862.8840972,0.8084795,0.0242614
54864.8785995,0.7990207,0.0208396
54870.8615394,0.8129626,0.0168287
54872.8562963,0.8162968,0.0172410
54873.8212847,0.8137283,0.0254556
54874.8510185,0.7844044,0.0259587
54876.8451736,0.8280861,0.0168872
54880.8359606,0.8180862,0.0602397
54882.8308218,0.8141136,0.0184819
54884.8250694,0.7868973,0.0238370
54886.8196065,0.8104137,0.0306462
54890.8082407,0.8379448,0.0312649
54892.8035069,0.8363844,0.0173849
54896.7922569,0.7984298,0.0220042
54902.7774190,0.7416133,0.0428065
54904.7717245,0.8448162,0.0403580
54905.7396528,0.7811109,0.0283126
54906.7664468,0.7878317,0.0383654
54907.7816667,0.8026290,0.0224340
54923.7485069,0.8200110,0.0187393
54926.7356829,0.8288020,0.0193221
54935.6602199,0.9005589,0.0845737
54938.6689931,0.8818152,0.0281215
54941.6418634,0.8903803,0.0197505
54947.6293634,0.9315740,0.0164535
54950.6186921,0.9403467,0.0169870
54953.6202431,0.9809695,0.0169129
54956.6198495,0.9682172,0.0245790
54966.7314815,1.0441176,0.0200356
54972.7115509,1.0787523,0.0161692
54975.7081481,1.0841114,0.0200659
54978.6947454,1.1024491,0.0258953
54988.6670949,1.1187349,0.0388134
54994.6566435,1.1237576,0.0430009
54997.6610648,1.1621786,0.0255341
55001.6321991,1.1406955,0.0159249
55009.6115625,1.1354344,0.0169895
55016.6071412,1.0954716,0.0170965
55019.5883218,1.0865260,0.0197325
55022.5764583,1.0833522,0.0157950
55034.5478935,1.0202320,0.0159399
55037.5492245,1.0128672,0.0154043
55040.5435301,1.0431317,0.0207893
55043.4135764,1.0135263,0.0141288
55046.3998727,0.9934207,0.0193663
55049.3949537,0.9586533,0.0296307
55055.3612500,0.9405928,0.0178427
55058.3743056,0.9514178,0.0378621
55061.3603935,0.9021166,0.0451275
55064.3545139,0.8844879,0.0234582
55067.5133796,0.8599747,0.0158494
55070.5172801,0.8607619,0.0128140
55073.4915278,0.8295082,0.0160480
55076.4703704,0.8088682,0.0178959
55079.4617014,0.8048249,0.0222131
55082.4673264,0.7940779,0.0211047
55085.4576042,0.7755695,0.0180020
55088.4470718,0.7848342,0.0118687
55091.4293403,0.7631712,0.0107697
55097.4236806,0.7496560,0.0151107
55103.4288773,0.7538948,0.0107134
55106.3874653,0.7388985,0.0171851
